interaction_id,Interaction_Time,Department,User_Role,user_query,query_category,metrics_requested,analysis_type,bot_response_confidence,response_time_ms,user_feedback_rating,estimated_business_impact,Feedback_Category,Speed_Performance,AI_Success_Flag
INT-100464,18:31.9,Marketing,Manager,Show monthly revenue trend,Customer,Revenue,Descriptive,1,550,4,Low,Positive,Fast,High Performance
INT-100534,45:31.9,Finance,Executive,Forecast next quarter revenue,Sales,Profit Margin,Trend Analysis,0.8,1506,3,Medium,Neutral,Slow,High Performance
INT-100536,50:31.9,Finance,Manager,Compare sales performance by region,Customer,Profit Margin,Trend Analysis,0.9,1071,2,Low,Negative,Slow,Review Needed
INT-100552,07:31.9,Marketing,Analyst,Compare sales performance by region,Customer,Conversion Rate,Predictive,0.8,238,5,High,Positive,Instant,High Performance
INT-100561,35:31.9,Sales,Intern,Forecast next quarter revenue,Finance,Churn Rate,Predictive,0.6,804,5,Medium,Positive,Slow,High Performance
INT-100696,29:31.9,HR,Intern,Show monthly revenue trend,Revenue,Conversion Rate,Predictive,0.6,1038,2,High,Negative,Slow,Review Needed
INT-100678,16:31.9,Operations,Executive,Forecast next quarter revenue,Marketing,Profit Margin,Predictive,0.6,469,4,Medium,Positive,Fast,High Performance
INT-100979,59:31.9,Finance,Manager,Forecast next quarter revenue,Revenue,Profit Margin,Predictive,0.6,1614,5,Low,Positive,Slow,High Performance
INT-100976,07:31.9,Operations,Manager,Forecast next quarter revenue,Revenue,Profit Margin,Descriptive,0.8,824,4,High,Positive,Slow,High Performance
INT-100915,34:31.9,Operations,Analyst,Show monthly revenue trend,Finance,ROI,Trend Analysis,1,2251,0,High,No Rating,Slow,Review Needed
INT-100946,26:31.9,Marketing,Intern,Which campaign had highest ROI?,Customer,ROI,Predictive,0.7,2263,4,Medium,Positive,Slow,High Performance
INT-101087,56:31.9,Finance,Manager,Compare sales performance by region,Revenue,Revenue,Trend Analysis,1,1328,1,Medium,Negative,Slow,Review Needed
INT-101312,13:31.9,Marketing,Intern,Forecast next quarter revenue,Finance,Profit Margin,Trend Analysis,1,2087,0,Medium,No Rating,Slow,Review Needed
INT-101310,33:31.9,Sales,Manager,Which campaign had highest ROI?,Finance,ROI,Descriptive,0.8,1720,3,High,Neutral,Slow,High Performance
INT-101268,17:31.9,Sales,Executive,Which campaign had highest ROI?,Finance,Churn Rate,Predictive,0.6,756,3,Medium,Neutral,Slow,High Performance
INT-101288,46:31.9,Finance,Analyst,Which campaign had highest ROI?,Marketing,Churn Rate,Descriptive,0.6,308,3,Low,Neutral,Fast,High Performance
INT-101226,37:31.9,Finance,Executive,Forecast next quarter revenue,Sales,Profit Margin,Trend Analysis,0.6,2306,5,High,Positive,Slow,High Performance
INT-101224,43:31.9,Finance,Analyst,Which campaign had highest ROI?,Finance,Revenue,Trend Analysis,0.7,403,2,Medium,Negative,Fast,Review Needed
INT-101246,44:31.9,Finance,Manager,Compare sales performance by region,Marketing,Profit Margin,Predictive,0.9,2055,3,Medium,Neutral,Slow,High Performance
INT-101198,39:31.9,HR,Analyst,Which campaign had highest ROI?,Customer,Churn Rate,Descriptive,0.7,1756,3,Low,Neutral,Slow,High Performance
INT-101429,54:31.9,Marketing,Manager,Which campaign had highest ROI?,Customer,Conversion Rate,Trend Analysis,0.6,1508,5,High,Positive,Slow,High Performance
INT-101486,45:31.9,Marketing,Intern,What is customer churn rate?,Sales,Churn Rate,Descriptive,0.7,2320,4,Low,Positive,Slow,High Performance
INT-102097,46:31.9,Sales,Intern,Forecast next quarter revenue,Marketing,Churn Rate,Predictive,0.6,1858,3,nan,Neutral,Slow,High Performance
INT-102139,03:31.9,HR,Analyst,What is customer churn rate?,Revenue,Conversion Rate,Descriptive,0.8,419,1,Medium,Negative,Fast,Review Needed
INT-102150,58:31.9,Sales,Analyst,Compare sales performance by region,Revenue,Conversion Rate,Predictive,0.6,2184,5,High,Positive,Slow,High Performance
INT-102226,53:31.9,Finance,Intern,What is customer churn rate?,Customer,ROI,Predictive,0.7,985,3,High,Neutral,Slow,High Performance
INT-101778,58:31.9,Sales,Executive,Compare sales performance by region,Finance,ROI,Predictive,0.8,1669,4,Medium,Positive,Slow,High Performance
INT-101756,47:31.9,Finance,Executive,What is customer churn rate?,Finance,ROI,Descriptive,0.7,2268,3,Medium,Neutral,Slow,High Performance
INT-101763,25:31.9,Operations,Executive,What is customer churn rate?,Finance,Profit Margin,Trend Analysis,0.8,1934,1,Low,Negative,Slow,Review Needed
INT-101802,41:31.9,Marketing,Intern,Compare sales performance by region,Sales,Profit Margin,Predictive,0.8,2276,4,Low,Positive,Slow,High Performance
INT-101836,15:31.9,Sales,Intern,Which campaign had highest ROI?,Revenue,ROI,Descriptive,0.8,2101,3,Low,Neutral,Slow,High Performance
INT-101908,31:31.9,HR,Manager,What is customer churn rate?,Customer,Revenue,Predictive,0.7,1363,3,High,Neutral,Slow,High Performance
INT-101935,16:31.9,HR,Analyst,Compare sales performance by region,Revenue,Conversion Rate,Predictive,0.7,431,4,Low,Positive,Fast,High Performance
INT-101942,27:31.9,Operations,Executive,Compare sales performance by region,Finance,Conversion Rate,Predictive,0.6,1770,1,Low,Negative,Slow,Review Needed
INT-101905,03:31.9,Operations,Analyst,Show monthly revenue trend,Marketing,Conversion Rate,Trend Analysis,0.8,944,3,Low,Neutral,Slow,High Performance
INT-101997,10:31.9,Sales,Executive,Show monthly revenue trend,Sales,Revenue,Predictive,0.8,212,5,Medium,Positive,Instant,High Performance
INT-101956,39:31.9,HR,Analyst,What is customer churn rate?,Sales,Churn Rate,Descriptive,0.7,2229,4,Medium,Positive,Slow,High Performance
INT-101948,03:31.9,Marketing,Intern,What is customer churn rate?,Finance,Churn Rate,Predictive,0.9,1438,0,Low,No Rating,Slow,Review Needed
INT-102047,09:31.9,Marketing,Analyst,Forecast next quarter revenue,Revenue,Conversion Rate,Predictive,0.8,2343,0,Low,No Rating,Slow,Review Needed
INT-102033,24:31.9,HR,Analyst,What is customer churn rate?,Marketing,Profit Margin,Predictive,1,658,3,Low,Neutral,Slow,High Performance
INT-102632,59:31.9,Finance,Manager,Compare sales performance by region,Revenue,Conversion Rate,Predictive,1,1673,5,High,Positive,Slow,High Performance
INT-102772,17:31.9,Finance,Executive,What is customer churn rate?,Marketing,ROI,Predictive,0.7,1825,4,Medium,Positive,Slow,High Performance
INT-102745,44:31.9,Sales,Intern,Show monthly revenue trend,Revenue,Conversion Rate,Descriptive,0.8,968,0,High,No Rating,Slow,Review Needed
INT-102484,10:31.9,Finance,Manager,Forecast next quarter revenue,Finance,Profit Margin,Descriptive,0.8,1131,5,High,Positive,Slow,High Performance
INT-102320,12:31.9,Marketing,Executive,Which campaign had highest ROI?,Marketing,Churn Rate,Descriptive,0.6,1161,0,Medium,No Rating,Slow,Review Needed
INT-102333,29:31.9,Marketing,Manager,Which campaign had highest ROI?,Finance,Revenue,Descriptive,0.9,1314,1,High,Negative,Slow,Review Needed
INT-102336,54:31.9,HR,Executive,Show monthly revenue trend,Revenue,Conversion Rate,Descriptive,0.7,598,3,nan,Neutral,Fast,High Performance
INT-102282,33:31.9,Finance,Manager,Which campaign had highest ROI?,Sales,ROI,Trend Analysis,0.8,310,1,Medium,Negative,Fast,Review Needed
INT-102389,00:31.9,Marketing,Intern,Which campaign had highest ROI?,Finance,Churn Rate,Descriptive,0.9,1685,3,Low,Neutral,Slow,High Performance
INT-102965,20:31.9,Finance,Analyst,Show monthly revenue trend,Marketing,ROI,Predictive,0.9,998,5,High,Positive,Slow,High Performance
INT-102912,04:31.9,Sales,Manager,Show monthly revenue trend,Revenue,Conversion Rate,Descriptive,0.9,2065,2,nan,Negative,Slow,Review Needed
INT-103012,42:31.9,Sales,Analyst,Show monthly revenue trend,Customer,Churn Rate,Descriptive,0.8,2072,1,nan,Negative,Slow,Review Needed
INT-102983,04:31.9,Sales,Executive,Show monthly revenue trend,Customer,Churn Rate,Trend Analysis,0.7,1097,5,High,Positive,Slow,High Performance
INT-103098,09:31.9,Marketing,Intern,Compare sales performance by region,Sales,ROI,Descriptive,0.8,1013,1,Medium,Negative,Slow,Review Needed
INT-103051,13:31.9,Finance,Intern,Which campaign had highest ROI?,Revenue,Churn Rate,Trend Analysis,0.8,1267,3,High,Neutral,Slow,High Performance
INT-103140,16:31.9,HR,Manager,Forecast next quarter revenue,Marketing,Revenue,Trend Analysis,0.8,1442,2,High,Negative,Slow,Review Needed
INT-100669,05:31.9,Sales,Intern,Which campaign had highest ROI?,Finance,Conversion Rate,Descriptive,0.8,1710,5,Low,Positive,Slow,High Performance
INT-100611,00:31.9,Sales,Manager,What is customer churn rate?,Revenue,Profit Margin,Descriptive,0.9,1804,3,Low,Neutral,Slow,High Performance
INT-100467,48:31.9,Finance,Analyst,What is customer churn rate?,Marketing,Profit Margin,Trend Analysis,0.9,1428,4,Low,Positive,Slow,High Performance
INT-100428,32:31.9,Operations,Manager,Show monthly revenue trend,Marketing,Conversion Rate,Predictive,0.9,1913,3,High,Neutral,Slow,High Performance
INT-100211,08:31.9,HR,Executive,Show monthly revenue trend,Finance,Profit Margin,Descriptive,0.7,327,3,Medium,Neutral,Fast,High Performance
INT-100180,02:31.9,Sales,Manager,What is customer churn rate?,Sales,Conversion Rate,Predictive,0.9,560,3,Low,Neutral,Fast,High Performance
INT-100153,58:31.9,Sales,Manager,What is customer churn rate?,Finance,Profit Margin,Trend Analysis,0.9,880,3,High,Neutral,Slow,High Performance
INT-100227,52:31.9,Marketing,Manager,Forecast next quarter revenue,Finance,Conversion Rate,Trend Analysis,0.8,646,4,Low,Positive,Slow,High Performance
INT-100037,18:31.9,Operations,Executive,Show monthly revenue trend,Finance,Churn Rate,Trend Analysis,0.7,1974,4,nan,Positive,Slow,High Performance
INT-100000,06:31.9,HR,Intern,Forecast next quarter revenue,Revenue,Revenue,Descriptive,0.7,2381,4,High,Positive,Slow,High Performance
INT-100124,44:31.9,Sales,Analyst,Which campaign had highest ROI?,Customer,Conversion Rate,Predictive,1,1541,3,Medium,Neutral,Slow,High Performance
INT-100088,35:31.9,HR,Analyst,Forecast next quarter revenue,Sales,Churn Rate,Descriptive,1,932,3,Medium,Neutral,Slow,High Performance
INT-100083,21:31.9,Operations,Executive,Compare sales performance by region,Revenue,Revenue,Predictive,0.6,1372,3,Low,Neutral,Slow,High Performance
INT-100100,09:31.9,HR,Manager,Which campaign had highest ROI?,Customer,Profit Margin,Trend Analysis,0.7,1902,3,Low,Neutral,Slow,High Performance
INT-101483,54:31.9,Sales,Manager,Forecast next quarter revenue,Revenue,Churn Rate,Descriptive,0.7,1904,2,High,Negative,Slow,Review Needed
INT-101472,50:31.9,Finance,Manager,Forecast next quarter revenue,Customer,Churn Rate,Predictive,0.8,1169,3,Medium,Neutral,Slow,High Performance
INT-101488,37:31.9,Operations,Intern,Which campaign had highest ROI?,Marketing,Churn Rate,Trend Analysis,0.7,1170,0,Low,No Rating,Slow,Review Needed
INT-101511,35:31.9,Marketing,Executive,Show monthly revenue trend,Finance,Conversion Rate,Trend Analysis,0.6,1269,5,Medium,Positive,Slow,High Performance
INT-101336,17:31.9,Marketing,Analyst,What is customer churn rate?,Revenue,Churn Rate,Predictive,1,1663,1,High,Negative,Slow,Review Needed
INT-101375,30:31.9,Marketing,Intern,What is customer churn rate?,Customer,Revenue,Trend Analysis,0.6,1467,5,Low,Positive,Slow,High Performance
INT-101215,57:31.9,Finance,Intern,What is customer churn rate?,Sales,Conversion Rate,Predictive,0.8,2278,3,High,Neutral,Slow,High Performance
INT-101266,41:31.9,Finance,Analyst,Show monthly revenue trend,Sales,ROI,Descriptive,0.9,2282,3,Low,Neutral,Slow,High Performance
INT-101302,16:31.9,Finance,Executive,Forecast next quarter revenue,Revenue,Churn Rate,Predictive,0.8,1448,1,Low,Negative,Slow,Review Needed
INT-101300,12:31.9,Operations,Manager,What is customer churn rate?,Marketing,Churn Rate,Descriptive,0.8,1203,2,High,Negative,Slow,Review Needed
INT-101064,52:31.9,Sales,Manager,Compare sales performance by region,Revenue,Conversion Rate,Trend Analysis,0.7,567,4,Medium,Positive,Fast,High Performance
INT-101173,03:31.9,Marketing,Manager,Compare sales performance by region,Revenue,ROI,Trend Analysis,0.6,747,1,High,Negative,Slow,Review Needed
INT-101160,11:31.9,Sales,Manager,What is customer churn rate?,Customer,Revenue,Trend Analysis,0.9,870,4,Medium,Positive,Slow,High Performance
INT-100918,39:31.9,Operations,Manager,What is customer churn rate?,Marketing,Churn Rate,Descriptive,0.9,801,5,High,Positive,Slow,High Performance
INT-100994,02:31.9,Operations,Manager,Forecast next quarter revenue,Finance,Conversion Rate,Trend Analysis,0.7,1365,3,High,Neutral,Slow,High Performance
INT-100767,07:31.9,Operations,Intern,What is customer churn rate?,Revenue,Profit Margin,Trend Analysis,0.9,468,4,High,Positive,Fast,High Performance
INT-100866,56:31.9,HR,Executive,Forecast next quarter revenue,Marketing,Revenue,Descriptive,0.8,988,5,nan,Positive,Slow,High Performance
INT-102086,56:31.9,Operations,Executive,What is customer churn rate?,Marketing,Churn Rate,Predictive,0.9,2284,5,High,Positive,Slow,High Performance
INT-101949,25:31.9,Operations,Intern,Compare sales performance by region,Finance,Profit Margin,Predictive,0.9,2206,3,High,Neutral,Slow,High Performance
INT-101888,05:31.9,HR,Intern,Show monthly revenue trend,Customer,ROI,Descriptive,0.8,2378,0,Medium,No Rating,Slow,Review Needed
INT-101684,32:31.9,HR,Intern,What is customer churn rate?,Finance,ROI,Descriptive,0.9,1799,2,Medium,Negative,Slow,Review Needed
INT-101588,55:31.9,HR,Executive,What is customer churn rate?,Marketing,Revenue,Trend Analysis,0.9,238,2,Medium,Negative,Instant,Review Needed
INT-101548,16:31.9,Operations,Executive,Show monthly revenue trend,Customer,Conversion Rate,Predictive,0.9,2266,1,High,Negative,Slow,Review Needed
INT-101539,38:31.9,HR,Intern,Forecast next quarter revenue,Finance,Profit Margin,Descriptive,0.9,2160,2,Low,Negative,Slow,Review Needed
INT-102232,56:31.9,Operations,Executive,Which campaign had highest ROI?,Marketing,ROI,Trend Analysis,0.9,805,5,Low,Positive,Slow,High Performance
INT-102201,10:31.9,Finance,Manager,Forecast next quarter revenue,Finance,Revenue,Predictive,0.9,1414,5,High,Positive,Slow,High Performance
INT-102214,35:31.9,Operations,Executive,What is customer churn rate?,Customer,ROI,Descriptive,0.9,2128,3,nan,Neutral,Slow,High Performance
INT-102193,19:31.9,HR,Manager,Compare sales performance by region,Revenue,Revenue,Descriptive,0.8,956,1,Medium,Negative,Slow,Review Needed
INT-102275,07:31.9,Operations,Analyst,Which campaign had highest ROI?,Customer,Profit Margin,Descriptive,0.8,858,3,Medium,Neutral,Slow,High Performance
INT-102992,35:31.9,Sales,Executive,What is customer churn rate?,Finance,Churn Rate,Predictive,0.8,1260,2,Medium,Negative,Slow,Review Needed
INT-102936,44:31.9,Marketing,Intern,Compare sales performance by region,Sales,Conversion Rate,Descriptive,0.9,2414,2,High,Negative,Slow,Review Needed
INT-102863,55:31.9,HR,Analyst,Forecast next quarter revenue,Revenue,Churn Rate,Descriptive,0.7,2359,0,Medium,No Rating,Slow,Review Needed
INT-102396,11:31.9,Marketing,Intern,Forecast next quarter revenue,Customer,ROI,Trend Analysis,0.8,2393,4,High,Positive,Slow,High Performance
INT-102373,31:31.9,Finance,Intern,Which campaign had highest ROI?,Marketing,Conversion Rate,Descriptive,0.9,744,2,nan,Negative,Slow,Review Needed
INT-102301,14:31.9,Sales,Intern,Compare sales performance by region,Customer,ROI,Trend Analysis,0.7,1791,4,Low,Positive,Slow,High Performance
INT-102321,49:31.9,Operations,Intern,Show monthly revenue trend,Marketing,Revenue,Descriptive,0.9,641,3,Medium,Neutral,Slow,High Performance
INT-102316,21:31.9,Operations,Manager,Compare sales performance by region,Customer,Profit Margin,Descriptive,0.9,1355,2,High,Negative,Slow,Review Needed
INT-102423,08:31.9,Marketing,Intern,What is customer churn rate?,Marketing,Conversion Rate,Descriptive,1,528,4,Medium,Positive,Fast,High Performance
INT-102519,52:31.9,Sales,Analyst,Compare sales performance by region,Sales,Conversion Rate,Predictive,0.6,1842,3,Low,Neutral,Slow,High Performance
INT-102520,24:31.9,HR,Manager,Compare sales performance by region,Customer,Churn Rate,Descriptive,0.8,1565,4,Medium,Positive,Slow,High Performance
INT-102494,23:31.9,Finance,Executive,What is customer churn rate?,Marketing,Churn Rate,Trend Analysis,0.9,2441,2,Low,Negative,Slow,Review Needed
INT-102714,44:31.9,Finance,Manager,Compare sales performance by region,Customer,ROI,Trend Analysis,0.9,1761,2,nan,Negative,Slow,Review Needed
INT-102727,00:31.9,Finance,Analyst,What is customer churn rate?,Customer,Churn Rate,Trend Analysis,0.7,859,4,Low,Positive,Slow,High Performance
INT-102836,37:31.9,Operations,Executive,Compare sales performance by region,Revenue,Conversion Rate,Descriptive,0.7,311,4,Low,Positive,Fast,High Performance
INT-102599,15:31.9,Marketing,Analyst,Forecast next quarter revenue,Customer,Revenue,Trend Analysis,0.6,1665,4,Medium,Positive,Slow,High Performance
INT-103139,13:31.9,Operations,Analyst,Compare sales performance by region,Customer,Revenue,Trend Analysis,0.8,1423,3,Medium,Neutral,Slow,High Performance
INT-103065,48:31.9,Marketing,Executive,Forecast next quarter revenue,Customer,ROI,Descriptive,0.7,1631,3,Medium,Neutral,Slow,High Performance
INT-100023,39:31.9,Sales,Manager,Forecast next quarter revenue,Revenue,Revenue,Descriptive,0.9,586,5,High,Positive,Fast,High Performance
INT-100203,53:31.9,Sales,Executive,Which campaign had highest ROI?,Finance,Revenue,Trend Analysis,1,2452,5,Medium,Positive,Slow,High Performance
INT-100267,05:31.9,Sales,Analyst,Which campaign had highest ROI?,Sales,Revenue,Trend Analysis,0.9,1863,1,Low,Negative,Slow,Review Needed
INT-100206,08:31.9,Operations,Manager,What is customer churn rate?,Finance,Revenue,Descriptive,0.7,835,0,High,No Rating,Slow,Review Needed
INT-100398,36:31.9,HR,Intern,Compare sales performance by region,Revenue,Churn Rate,Predictive,0.8,2057,1,Medium,Negative,Slow,Review Needed
INT-100401,03:31.9,Operations,Manager,Forecast next quarter revenue,Sales,ROI,Trend Analysis,0.7,2064,3,Medium,Neutral,Slow,High Performance
INT-100687,07:31.9,Sales,Executive,Show monthly revenue trend,Marketing,Profit Margin,Descriptive,0.8,333,4,Medium,Positive,Fast,High Performance
INT-100736,03:31.9,Sales,Executive,Show monthly revenue trend,Revenue,Revenue,Trend Analysis,0.8,860,3,Low,Neutral,Slow,High Performance
INT-100863,06:31.9,Marketing,Manager,Which campaign had highest ROI?,Revenue,Revenue,Trend Analysis,0.8,1298,1,nan,Negative,Slow,Review Needed
INT-100825,22:31.9,Operations,Intern,Forecast next quarter revenue,Marketing,ROI,Descriptive,0.9,2254,3,Medium,Neutral,Slow,High Performance
INT-101015,00:31.9,Sales,Intern,Which campaign had highest ROI?,Revenue,ROI,Trend Analysis,0.9,1435,5,Medium,Positive,Slow,High Performance
INT-100900,20:31.9,Finance,Intern,Compare sales performance by region,Revenue,Profit Margin,Trend Analysis,0.9,421,4,Low,Positive,Fast,High Performance
INT-101100,31:31.9,Operations,Manager,Which campaign had highest ROI?,Finance,Profit Margin,Trend Analysis,0.7,1258,3,Medium,Neutral,Slow,High Performance
INT-101314,55:31.9,Operations,Intern,Which campaign had highest ROI?,Marketing,Profit Margin,Descriptive,1,2331,1,nan,Negative,Slow,Review Needed
INT-101366,49:31.9,Sales,Analyst,What is customer churn rate?,Sales,Profit Margin,Trend Analysis,0.8,2016,3,Medium,Neutral,Slow,High Performance
INT-101342,40:31.9,Finance,Manager,Forecast next quarter revenue,Marketing,Profit Margin,Predictive,1,605,0,Medium,No Rating,Slow,Review Needed
INT-101433,38:31.9,Operations,Executive,What is customer churn rate?,Finance,Profit Margin,Trend Analysis,1,931,2,High,Negative,Slow,Review Needed
INT-101502,34:31.9,HR,Executive,Forecast next quarter revenue,Finance,Profit Margin,Predictive,0.6,1579,4,nan,Positive,Slow,High Performance
INT-101471,41:31.9,Marketing,Executive,What is customer churn rate?,Finance,ROI,Predictive,0.7,249,2,High,Negative,Instant,Review Needed
INT-102171,52:31.9,Sales,Analyst,Which campaign had highest ROI?,Marketing,ROI,Descriptive,0.8,2263,5,High,Positive,Slow,High Performance
INT-102221,31:31.9,Marketing,Executive,Show monthly revenue trend,Marketing,Churn Rate,Descriptive,0.8,258,4,Low,Positive,Instant,High Performance
INT-102133,27:31.9,Sales,Manager,What is customer churn rate?,Customer,Conversion Rate,Trend Analysis,0.9,637,3,High,Neutral,Slow,High Performance
INT-101618,32:31.9,Marketing,Manager,Forecast next quarter revenue,Marketing,Profit Margin,Descriptive,0.7,1546,3,Medium,Neutral,Slow,High Performance
INT-101696,23:31.9,HR,Executive,Compare sales performance by region,Revenue,Revenue,Predictive,0.8,778,3,Low,Neutral,Slow,High Performance
INT-101715,29:31.9,Marketing,Analyst,Which campaign had highest ROI?,Finance,Profit Margin,Predictive,0.9,837,4,Low,Positive,Slow,High Performance
INT-101748,02:31.9,Operations,Intern,Forecast next quarter revenue,Revenue,Conversion Rate,Trend Analysis,1,1156,4,Medium,Positive,Slow,High Performance
INT-101999,59:31.9,Finance,Intern,Compare sales performance by region,Sales,Churn Rate,Descriptive,0.6,889,5,Medium,Positive,Slow,High Performance
INT-102611,46:31.9,HR,Executive,Show monthly revenue trend,Revenue,Churn Rate,Predictive,0.9,2083,4,High,Positive,Slow,High Performance
INT-102688,24:31.9,Finance,Executive,Compare sales performance by region,Finance,ROI,Predictive,0.9,746,5,Low,Positive,Slow,High Performance
INT-102658,26:31.9,Operations,Manager,Compare sales performance by region,Marketing,ROI,Trend Analysis,0.7,1510,0,High,No Rating,Slow,Review Needed
INT-102650,02:31.9,Sales,Executive,Show monthly revenue trend,Marketing,Churn Rate,Descriptive,1,431,5,Medium,Positive,Fast,High Performance
INT-102651,20:31.9,Marketing,Executive,Forecast next quarter revenue,Revenue,Churn Rate,Descriptive,0.7,2012,5,Low,Positive,Slow,High Performance
INT-102840,36:31.9,Sales,Analyst,Which campaign had highest ROI?,Revenue,Revenue,Predictive,0.9,2243,4,Low,Positive,Slow,High Performance
INT-102452,06:31.9,Operations,Executive,Forecast next quarter revenue,Sales,Revenue,Trend Analysis,0.7,1209,0,Low,No Rating,Slow,Review Needed
INT-102394,06:31.9,Finance,Intern,What is customer churn rate?,Finance,Conversion Rate,Predictive,0.7,2219,5,Medium,Positive,Slow,High Performance
INT-102859,25:31.9,Finance,Analyst,Compare sales performance by region,Sales,ROI,Trend Analysis,0.7,2083,2,Low,Negative,Slow,Review Needed
INT-102848,30:31.9,HR,Executive,Forecast next quarter revenue,Revenue,ROI,Predictive,0.7,2149,0,Low,No Rating,Slow,Review Needed
INT-102979,31:31.9,Operations,Intern,Which campaign had highest ROI?,Sales,ROI,Predictive,0.7,2300,3,Low,Neutral,Slow,High Performance
INT-102953,02:31.9,HR,Executive,Compare sales performance by region,Revenue,Conversion Rate,Predictive,1,2330,1,nan,Negative,Slow,Review Needed
INT-102947,37:31.9,Sales,Manager,What is customer churn rate?,Customer,Profit Margin,Predictive,0.8,2149,4,Medium,Positive,Slow,High Performance
INT-103023,32:31.9,HR,Executive,Which campaign had highest ROI?,Marketing,Revenue,Trend Analysis,0.9,2235,5,Medium,Positive,Slow,High Performance
INT-103134,50:31.9,Finance,Analyst,Forecast next quarter revenue,Sales,Churn Rate,Descriptive,0.8,1139,2,Medium,Negative,Slow,Review Needed
INT-100680,50:31.9,Operations,Executive,What is customer churn rate?,Finance,Conversion Rate,Trend Analysis,0.9,893,4,nan,Positive,Slow,High Performance
INT-100393,39:31.9,Sales,Intern,Which campaign had highest ROI?,Finance,Revenue,Trend Analysis,0.6,885,3,Medium,Neutral,Slow,High Performance
INT-100419,27:31.9,HR,Intern,Forecast next quarter revenue,Customer,ROI,Predictive,0.7,1878,1,Medium,Negative,Slow,Review Needed
INT-100354,08:31.9,Marketing,Manager,Which campaign had highest ROI?,Sales,Churn Rate,Trend Analysis,0.8,1349,4,Medium,Positive,Slow,High Performance
INT-100290,21:31.9,Finance,Manager,Compare sales performance by region,Revenue,Revenue,Descriptive,0.6,1677,4,Medium,Positive,Slow,High Performance
INT-100544,48:31.9,Sales,Analyst,Which campaign had highest ROI?,Sales,Churn Rate,Predictive,0.9,1265,3,Medium,Neutral,Slow,High Performance
INT-100196,32:31.9,Finance,Intern,What is customer churn rate?,Sales,Churn Rate,Predictive,0.8,1369,2,High,Negative,Slow,Review Needed
INT-100198,24:31.9,Operations,Intern,Show monthly revenue trend,Customer,Conversion Rate,Trend Analysis,0.7,727,2,Medium,Negative,Slow,Review Needed
INT-100264,06:31.9,HR,Intern,Compare sales performance by region,Revenue,Churn Rate,Descriptive,0.9,1613,3,nan,Neutral,Slow,High Performance
INT-100217,38:31.9,HR,Executive,Compare sales performance by region,Revenue,Revenue,Trend Analysis,0.7,718,0,Low,No Rating,Slow,Review Needed
INT-100224,56:31.9,Sales,Manager,Forecast next quarter revenue,Sales,ROI,Descriptive,0.8,1794,5,High,Positive,Slow,High Performance
INT-101096,44:31.9,HR,Intern,Compare sales performance by region,Revenue,Revenue,Trend Analysis,0.9,603,2,Low,Negative,Slow,Review Needed
INT-101089,20:31.9,Sales,Intern,Compare sales performance by region,Revenue,Churn Rate,Predictive,0.8,549,4,Medium,Positive,Fast,High Performance
INT-101049,30:31.9,Sales,Analyst,What is customer churn rate?,Finance,Revenue,Descriptive,0.9,518,0,High,No Rating,Fast,Review Needed
INT-101061,35:31.9,Sales,Executive,What is customer churn rate?,Customer,Churn Rate,Predictive,0.8,883,2,High,Negative,Slow,Review Needed
INT-101167,51:31.9,Operations,Executive,Forecast next quarter revenue,Revenue,Conversion Rate,Descriptive,0.8,1252,4,nan,Positive,Slow,High Performance
INT-100971,07:31.9,Operations,Manager,What is customer churn rate?,Finance,Revenue,Trend Analysis,0.8,709,0,nan,No Rating,Slow,Review Needed
INT-100944,34:31.9,Finance,Executive,Show monthly revenue trend,Customer,ROI,Predictive,1,1334,4,Low,Positive,Slow,High Performance
INT-101025,05:31.9,Operations,Analyst,Forecast next quarter revenue,Sales,Churn Rate,Trend Analysis,0.8,2427,0,High,No Rating,Slow,Review Needed
INT-101029,13:31.9,Sales,Analyst,What is customer churn rate?,Customer,Conversion Rate,Predictive,0.6,1554,0,nan,No Rating,Slow,Review Needed
INT-100986,07:31.9,Operations,Executive,Which campaign had highest ROI?,Marketing,Churn Rate,Predictive,0.7,1161,0,Low,No Rating,Slow,Review Needed
INT-100896,20:31.9,Sales,Analyst,What is customer churn rate?,Sales,ROI,Predictive,0.9,1399,4,Low,Positive,Slow,High Performance
INT-100768,44:31.9,Operations,Executive,Which campaign had highest ROI?,Revenue,Churn Rate,Predictive,1,1587,3,Medium,Neutral,Slow,High Performance
INT-100808,04:31.9,Sales,Manager,Compare sales performance by region,Finance,Profit Margin,Predictive,0.8,2427,2,High,Negative,Slow,Review Needed
INT-101967,01:31.9,Sales,Analyst,Compare sales performance by region,Sales,Conversion Rate,Descriptive,0.7,1656,3,High,Neutral,Slow,High Performance
INT-101879,47:31.9,Operations,Analyst,Forecast next quarter revenue,Marketing,Profit Margin,Descriptive,0.8,1316,2,Medium,Negative,Slow,Review Needed
INT-101824,19:31.9,Sales,Intern,Which campaign had highest ROI?,Customer,ROI,Trend Analysis,0.7,1220,4,High,Positive,Slow,High Performance
INT-101769,33:31.9,HR,Manager,Which campaign had highest ROI?,Revenue,Churn Rate,Descriptive,0.9,2381,5,Medium,Positive,Slow,High Performance
INT-101697,22:31.9,Operations,Executive,Forecast next quarter revenue,Finance,Profit Margin,Predictive,0.8,1573,0,High,No Rating,Slow,Review Needed
